model,EOS,Z_amp,Z_lambda,HeII4686_Hb,HeI5016_Hb,OII4651_Hb,OIII5007_Hb,OIII4363_CO_Hb,OIII4363_RR_Hb,OIII4363_CX_Hb,OIII4363_Hb,OIII4363_over_OIII5007
ou5a-T115-L660-p-llha,const_P,0,homog,0.8745,0.0192,0.002351,16.55,0.3232,0.0009801,0.0005112,0.3247,0.01962
ou5a-T115-L660-p-llha-Z06fluct-short,const_P,6,short,0.7255,0.02539,0.01147,10.21,0.05362,0.002506,0.001177,0.0573,0.005613
ou5a-T115-L660-p-llha-Z06fluct-long,const_P,6,long,0.7795,0.02337,0.007746,13.18,0.09917,0.003106,0.001145,0.1034,0.007844
ou5a-T115-L660-p-llha-Z15fluct-short,const_P,15,short,0.6735,0.02659,0.03246,0.2152,0.002577,0.005092,0.001347,0.009016,0.04189
ou5a-T115-L660-p-llha-Z15fluct-long,const_P,15,long,0.7493,0.02398,0.02856,1.076,0.008271,0.00634,0.001382,0.01599,0.01486
ou5a-T115-L660-p-llha-Z30fluct-short,const_P,30,short,0.505,0.03175,0.06812,0.009352,0.001549,0.006253,0.0009156,0.008717,0.9321
ou5a-T115-L660-p-llha-Z30fluct-long,const_P,30,long,0.564,0.02979,0.05975,0.08973,0.002707,0.007874,0.0009278,0.01151,0.1283
ou5a-T115-L660-p-llha-Z60fluct-short,const_P,60,short,0.5516,0.0299,0.1279,0.00385,0.002053,0.01175,0.0009882,0.01479,3.841
ou5a-T115-L660-p-llha-Z60fluct-long,const_P,60,long,0.771,0.02322,0.09214,0.01021,0.002884,0.01755,0.001029,0.02146,2.102
